memory_utilization,cpu_utilization,errors_per_minute,requests_per_minute,av_response_time
37.3,0.215,0,5.85,455
21.6,0.268,0,5.05,399
13.6,0.141,0,1.9,365
9.48,0.206,0,0.683,159
12.2,0.174,0,2.37,2120
13.6,0.0865,0,0.95,2430
14.6,0.109,0,0.683,185
15.9,0.175,0,0.317,185
18.6,0.224,0,1.37,162
20.9,0.112,0,0.633,162
26.8,0.298,0,2.05,154
30.9,0.191,0,1.63,160
33.1,0.252,0,1.01,172
36,0.184,0,0.989,169
37.9,0.0797,0,0.322,166
22.7,0.226,0,0.683,179
13.5,0.172,0,1,172
13,0.0797,0,0.317,168
17.3,0.258,0,3.42,2200
19.6,0.131,0,1.58,2200
22.4,0.247,0,0.689,174
25.2,0.197,0,0.989,168
26.8,0.0866,0,0.322,165
34.8,0.249,0,4.1,499
36.9,0.161,0,3.95,560
38,0.0715,0,0.95,616
22,0.283,0,4.13,755
13.3,0.198,0,3.9,691
13.8,0.0786,0,0.966,632
